Unnamed: 0,company_name,company_id,url,vertical,missing_vertical,vert_code,vert_desc,company_name_short,is_small_name
3696,CASITA LIMITED,08123245,http://www.tulios.foodpages.ca,69102 - Solicitors,0,69102.0,solicitors,casita,0
3725,CATE MOORE LIMITED,07807897,http://www.catemoore.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,cate moore,0
3751,CAVEHILL ACCOUNTANCY SERVICES LIMITED,NI046311,http://www.cavehillaccountancy.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,cavehill accountancy services,0
3875,CERTAX ACCOUNTING (BIRMINGHAM SOUTH) LIMITED,08200363,http://www.certaxbirminghamsouth.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,certax accounting (birmingham south),0
3883,CFO CONSULTING LTD,04807833,http://www.cfoconsulting.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,cfo consulting,0
3904,CHAMBERLAIN MCBAIN LIMITED,SC200870,http://www.cmcb.co.uk,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,0,69109.0,activities of patent and copyright agents other legal activities nec,chamberlain mcbain,0
3936,CHARLES BROWN ADR SERVICES LIMITED,09167075,http://www.charles-brown.co.uk,69102 - Solicitors,0,69102.0,solicitors,charles brown adr services,0
3946,CHARLTON NEWELL LIMITED,08073149,http://www.charlton-newell.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,charlton newell,0
3987,CHEK & CO LTD,09020818,http://www.hongchek.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,chek & co,0
4010,CHEONG BUSINESS SERVICES LTD,04825262,http://www.10980.tradebig.com,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,cheong business services,0
4011,CHEPSTOW ACCOUNTANCY SERVICES LIMITED,08559027,http://www.chepstow-accountancy-services.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,chepstow accountancy services,0
4066,CHINNAR SOLUTIONS LTD,09027139,http://www.chinnarsolutions.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,chinnar solutions,0
4092,CHORUS ACCOUNTING LIMITED,07996575,http://www.chorusaccounting.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,chorus accounting,0
4103,CHRIS REGAN LIMITED,05742546,http://www.chrisregan.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,chris regan,0
4104,CHRIS ROOKE MANAGEMENT LIMITED,04783388,http://www.chrisrookemanagement.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,chris rooke management,0
4159,CIRRUS CLOUD ACCOUNTING LIMITED,08770529,http://www.cirruscloudaccounting.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,cirrus cloud accounting,0
4174,CITY ACCTAX LIMITED,07921957,http://www.cityacctax.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,city acctax,0
4175,CITY ARBITRATORS LIMITED,05593157,http://www.cityarbitrators.com,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,0,69109.0,activities of patent and copyright agents other legal activities nec,city arbitrators,0
4304,CLEAVER FULTON RANKIN LIMITED,NI031078,http://www.cfrlaw.co.uk,69102 - Solicitors,0,69102.0,solicitors,cleaver fulton rankin,0
4305,CLEAVER THOMPSON LIMITED,04889150,http://www.cleaver-thompson.co.uk,69102 - Solicitors,0,69102.0,solicitors,cleaver thompson,0
4337,CLINK LIMITED,05156368,http://www.clink.biz,69102 - Solicitors,0,69102.0,solicitors,clink,0
4363,CLR ACCOUNTANCY SERVICES LIMITED,07965950,http://www.clr-accountancy.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,clr accountancy services,0
4385,CMM ACCOUNTANTS LIMITED,05082277,http://www.cmmaccountants.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,cmm accountants,0
